

https://aliexpress.com  StandardStatus= 301   chars_in_result= 357
00045:  C=200      3 L	       4 W	     72 Ch	  ".well-known/assetlinks.json"
04777:  C=404      7 L	      12 W	    162 Ch	  "js/Main-app.js"
04776:  C=404      7 L	      12 W	    162 Ch	  "js/Main.js"
04775:  C=404      7 L	      12 W	    162 Ch	  "js/main.js"
04774:  C=404      7 L	      12 W	    162 Ch	  "js/application.js"
04773:  C=404      7 L	      12 W	    162 Ch	  "js/APP.js"
04770:  C=404      7 L	      12 W	    162 Ch	  "js/package.js"
04769:  C=404      7 L	      12 W	    162 Ch	  "js/index.test.js"
04772:  C=404      7 L	      12 W	    162 Ch	  "js/App.js"
04771:  C=404      7 L	      12 W	    162 Ch	  "js/app.js"
04768:  C=404      7 L	      12 W	    162 Ch	  "js/test.js"
04767:  C=404      7 L	      12 W	    162 Ch	  "js/config.js"
04766:  C=404      7 L	      12 W	    162 Ch	  "js/_config.js"
04765:  C=404      7 L	      12 W	    162 Ch	  "js/input.js"
04764:  C=404      7 L	      12 W	    162 Ch	  "js/index.js"
04837:  C=404      7 L	      12 W	    162 Ch	  "js/button.js"
04839:  C=404      7 L	      12 W	    162 Ch	  "js/Source.js"
04843:  C=404      7 L	      12 W	    162 Ch	  "js/internal.js"
04851:  C=404      7 L	      12 W	    162 Ch	  "js/console.js"
04867:  C=404      7 L	      12 W	    162 Ch	  "license.txt"
04892:  C=404      7 L	      12 W	    162 Ch	  "wp-admin/edit-comments.js"
04889:  C=404      7 L	      12 W	    162 Ch	  "wp-admin/dbx-admin-key.js"
04882:  C=404      7 L	      12 W	    162 Ch	  "wp-admin/cat.js"
04883:  C=404      7 L	      12 W	    162 Ch	  "wp-admin/categories.js"
04861:  C=404      7 L	      12 W	    162 Ch	  "js/runner.js"
04862:  C=404      7 L	      12 W	    162 Ch	  "js/nav.js"
04859:  C=404      7 L	      12 W	    162 Ch	  "js/example.js"
04858:  C=404      7 L	      12 W	    162 Ch	  "js/react.js"
04860:  C=404      7 L	      12 W	    162 Ch	  "js/role.js"
04857:  C=404      7 L	      12 W	    162 Ch	  "js/edit.js"
04856:  C=404      7 L	      12 W	    162 Ch	  "js/sum.js"
04855:  C=404      7 L	      12 W	    162 Ch	  "js/tab.js"
04854:  C=404      7 L	      12 W	    162 Ch	  "js/value.js"
04853:  C=404      7 L	      12 W	    162 Ch	  "js/base.js"
04849:  C=404      7 L	      12 W	    162 Ch	  "js/jest.js"
04848:  C=404      7 L	      12 W	    162 Ch	  "js/parser.js"
04850:  C=404      7 L	      12 W	    162 Ch	  "js/events.js"
04852:  C=404      7 L	      12 W	    162 Ch	  "js/const.js"
04847:  C=404      7 L	      12 W	    162 Ch	  "js/template.js"
04846:  C=404      7 L	      12 W	    162 Ch	  "js/update.js"
04845:  C=404      7 L	      12 W	    162 Ch	  "js/cache.js"
04842:  C=404      7 L	      12 W	    162 Ch	  "js/install.js"
04844:  C=404      7 L	      12 W	    162 Ch	  "js/contact.js"
04841:  C=404      7 L	      12 W	    162 Ch	  "js/loader.js"
04838:  C=404      7 L	      12 W	    162 Ch	  "js/source.js"
04840:  C=404      7 L	      12 W	    162 Ch	  "js/query.js"
04963:  C=404      7 L	      12 W	    162 Ch	  "wp-admin/xfn.js"
04962:  C=404      7 L	      12 W	    162 Ch	  "wp-admin/wp-admin.css"
04960:  C=404      7 L	      12 W	    162 Ch	  "wp-admin/widgets.css"
04959:  C=404      7 L	      12 W	    162 Ch	  "wp-admin/widgets-rtl.css"
04957:  C=404      7 L	      12 W	    162 Ch	  "wp-admin/users.js"
04944:  C=404      7 L	      12 W	    162 Ch	  "wp-admin/upload.js"
04943:  C=404      7 L	      12 W	    162 Ch	  "wp-admin/upload.css"
04942:  C=404      7 L	      12 W	    162 Ch	  "wp-admin/upload-rtl.css"
05125:  C=404      7 L	      12 W	    162 Ch	  "examples/jsp/snp/snoop.jsp"
05209:  C=200     21 L	      62 W	    494 Ch	  "50x.html"
05192:  C=404      7 L	      12 W	    162 Ch	  "servlet/org.apache.catalina.servlets.InvokerServlet/org.apache.catalina.servlets.DefaultServlet/tomcat.gif"
05190:  C=404      7 L	      12 W	    162 Ch	  "servlet/org.apache.catalina.servlets.DefaultServlet/tomcat.gif"
05186:  C=404      7 L	      12 W	    162 Ch	  "servlet/org.apache.catalina.INVOKER.org.apache.catalina.servlets.DefaultServlet/tomcat.gif"
05138:  C=404      7 L	      12 W	    162 Ch	  "examples/servlet/org.apache.catalina.servlets.WebdavServlet/jsp/source.jsp"
05137:  C=404      7 L	      12 W	    162 Ch	  "examples/servlet/org.apache.catalina.servlets.WebdavServlet/jsp/snp/snoop.jsp"
05136:  C=404      7 L	      12 W	    162 Ch	  "examples/servlet/org.apache.catalina.servlets.DefaultServlet/jsp/source.jsp"
05135:  C=404      7 L	      12 W	    162 Ch	  "examples/servlet/org.apache.catalina.servlets.DefaultServlet/jsp/snp/snoop.jsp"
05131:  C=404      7 L	      12 W	    162 Ch	  "examples/servlet/default/jsp/source.jsp"
05130:  C=404      7 L	      12 W	    162 Ch	  "examples/servlet/default/jsp/snp/snoop.jsp"
05126:  C=404      7 L	      12 W	    162 Ch	  "examples/jsp/source.jsp"
05255:  C=404      7 L	      12 W	    162 Ch	  "AccessPlatform/auth/clientscripts/cookies.js"
05256:  C=404      7 L	      12 W	    162 Ch	  "AccessPlatform/auth/clientscripts/login.js"
05250:  C=404      7 L	      12 W	    162 Ch	  "..%255c..%255c..%255c..%255cwinnt/system32/cmd.exe?/c+dir"
05246:  C=404      7 L	      12 W	    162 Ch	  "nginx.exe"
05287:  C=404      7 L	      12 W	    162 Ch	  "cgi-bin/htimage.exe?2,2"
05295:  C=404      7 L	      12 W	    162 Ch	  "Citrix/AccessPlatform/auth/clientscripts/login.js"
05294:  C=404      7 L	      12 W	    162 Ch	  "Citrix//AccessPlatform/auth/clientscripts/cookies.js"
05289:  C=404      7 L	      12 W	    162 Ch	  "cgi-bin/imagemap.exe?2,2"
05282:  C=404      7 L	      12 W	    162 Ch	  "cfide/..%255c..%255c..%255c..%255cwinnt/system32/cmd.exe?/c+dir"
05346:  C=404      7 L	      12 W	    162 Ch	  "_mem_bin/..%255c..%255c..%255c..%255cwinnt/system32/cmd.exe?/c+dir"
05354:  C=404      7 L	      12 W	    162 Ch	  "msdac/root.exe?/c+dir"
05393:  C=404      7 L	      12 W	    162 Ch	  "scripts/tools/newdsn.exe"
05392:  C=404      7 L	      12 W	    162 Ch	  "scripts/tools/getdrvs.exe"
05390:  C=404      7 L	      12 W	    162 Ch	  "scripts/samples/search/webhits.exe"
05388:  C=404      7 L	      12 W	    162 Ch	  "scripts/root.exe?/c+dir"
05384:  C=404      7 L	      12 W	    162 Ch	  "scripts/counter.exe"
05385:  C=404      7 L	      12 W	    162 Ch	  "scripts/fpcount.exe"
05382:  C=404      7 L	      12 W	    162 Ch	  "scripts/cgimail.exe"
05381:  C=404      7 L	      12 W	    162 Ch	  "scripts/..%c0%af../winnt/system32/cmd.exe?/c+dir+c:\\"
05380:  C=404      7 L	      12 W	    162 Ch	  "scripts/..%c0%af..%c0%afwinnt/system32/cmd.exe?/c+dir+c:\\"
05379:  C=404      7 L	      12 W	    162 Ch	  "scripts/..%255c..%255c..%255c..%255cwinnt/system32/cmd.exe?/c+dir"
05352:  C=404      7 L	      12 W	    162 Ch	  "msadc/..%255c..%255c..%255c..%255cwinnt/system32/cmd.exe?/c+dir"
05495:  C=404      7 L	      12 W	    162 Ch	  "v1/graphql/schema.json"
05489:  C=404      7 L	      12 W	    162 Ch	  "v1/graphiql.min.js"
05488:  C=404      7 L	      12 W	    162 Ch	  "v1/graphiql.min.css"
05485:  C=404      7 L	      12 W	    162 Ch	  "v1/graphiql.css"
05474:  C=404      7 L	      12 W	    162 Ch	  "graphql/schema.json"
05468:  C=404      7 L	      12 W	    162 Ch	  "graphiql.min.js"
05467:  C=404      7 L	      12 W	    162 Ch	  "graphiql.min.css"
05466:  C=404      7 L	      12 W	    162 Ch	  "graphiql.js"
05464:  C=404      7 L	      12 W	    162 Ch	  "graphiql.css"
05436:  C=404      7 L	      12 W	    162 Ch	  "_vti_pvt/shtml.exe"
05425:  C=404      7 L	      12 W	    162 Ch	  "_vti_bin/shtml.exe/qwertyuiop"
05487:  C=404      7 L	      12 W	    162 Ch	  "v1/graphiql.js"
05422:  C=404      7 L	      12 W	    162 Ch	  "_vti_bin/fpcount.exe?Page=default.asp|Image=3"
05421:  C=404      7 L	      12 W	    162 Ch	  "_vti_bin/..%255c..%255c..%255c..%255cwinnt/system32/cmd.exe?/c+dir"
05414:  C=404      7 L	      12 W	    162 Ch	  "tools/newdsn.exe?driver=Microsoft%2BAccess%2BDriver%2B%28*.mdb%29&dsn=goatfart+samples+from+microsoft&dbq=..%2F..%2Fwwwroot%2goatfart.html&newdb=CREA"
05535:  C=404      7 L	      12 W	    162 Ch	  "v3/graphql/schema.json"
05529:  C=404      7 L	      12 W	    162 Ch	  "v3/graphiql.min.js"
05528:  C=404      7 L	      12 W	    162 Ch	  "v3/graphiql.min.css"
05525:  C=404      7 L	      12 W	    162 Ch	  "v3/graphiql.css"
05527:  C=404      7 L	      12 W	    162 Ch	  "v3/graphiql.js"
05515:  C=404      7 L	      12 W	    162 Ch	  "v2/graphql/schema.json"
05509:  C=404      7 L	      12 W	    162 Ch	  "v2/graphiql.min.js"
05508:  C=404      7 L	      12 W	    162 Ch	  "v2/graphiql.min.css"
05507:  C=404      7 L	      12 W	    162 Ch	  "v2/graphiql.js"
05505:  C=404      7 L	      12 W	    162 Ch	  "v2/graphiql.css"
05549:  C=404      7 L	      12 W	    162 Ch	  "v4/graphiql.min.js"
05555:  C=404      7 L	      12 W	    162 Ch	  "v4/graphql/schema.json"
05545:  C=404      7 L	      12 W	    162 Ch	  "v4/graphiql.css"
05547:  C=404      7 L	      12 W	    162 Ch	  "v4/graphiql.js"
05548:  C=404      7 L	      12 W	    162 Ch	  "v4/graphiql.min.css"

https://sg.support.garena.com  StandardStatus= 301   chars_in_result= 166
05356:  C=400      0 L	       3 W	     15 Ch	  "%NETHOOD%/"
